Name,Base Salary,HRA,Tax (%),Funds,Deductions,Gross Salary,Net Salary
Employee_0,35152,10832,5,6554,1447,52538,48791.8
Employee_1,48261,18128,25,2131,3186,68520,48736.75
Employee_2,66215,18881,25,9568,1859,94664,71531.0
Employee_3,40962,17825,10,8803,2591,67590,59120.3
Employee_4,36049,7563,25,5038,3364,48650,34383.0
Employee_5,51252,10872,15,6102,4865,68226,54042.4
Employee_6,97332,7210,10,7146,3261,111688,97972.8
Employee_7,49269,13383,5,6998,3987,69650,62530.4
Employee_8,63569,5197,15,2547,2305,71313,58693.1
Employee_9,44549,16360,10,7558,847,68467,61529.1
Employee_10,88375,13666,5,1127,3469,103168,94596.95
Employee_11,45792,16686,5,7906,4810,70384,62450.1
Employee_12,76870,5610,25,6020,4022,88500,63858.0
Employee_13,40176,7517,10,4666,653,52359,46936.7
Employee_14,95664,13643,15,9890,904,119197,101896.95
Employee_15,35901,17856,15,9684,4226,63441,51151.45
Employee_16,65753,8427,15,2602,3996,76782,61659.0
Employee_17,48887,15811,10,2955,3538,67653,57645.2
Employee_18,38775,6491,5,4572,2775,49838,44799.7
Employee_19,57354,9868,5,1748,3853,68970,61755.9
Employee_20,75502,10472,10,9287,1637,95261,85026.6
Employee_21,52065,12450,5,2823,1967,67338,62145.25
Employee_22,56049,17196,15,8513,1868,81758,68903.25
Employee_23,40778,19906,25,5599,4756,66283,46356.0
Employee_24,51322,11207,25,8676,3436,71205,52136.75
Employee_25,36575,15211,25,3786,3860,55572,38765.5
Employee_26,45456,15454,25,4048,1600,64958,48130.5
Employee_27,97335,5071,15,4012,1878,106418,89179.1
Employee_28,87930,9136,15,8517,4336,105583,86687.1
Employee_29,39717,12307,20,7211,1338,59235,47492.2
Employee_30,90389,14167,10,8871,796,113427,102175.4
Employee_31,80159,16253,5,8671,1274,105083,98988.4
Employee_32,34220,8795,20,7251,2603,50266,39060.0
Employee_33,58962,19618,25,6049,4810,84629,60174.0
Employee_34,77051,7523,10,7924,1352,92498,82688.6
Employee_35,58535,13298,5,2035,1291,73868,68985.35
Employee_36,33622,19897,25,3149,1988,56668,41300.25
Employee_37,48757,16214,5,4214,4823,69185,61113.45
Employee_38,73830,9320,20,4581,3908,87731,67193.0
Employee_39,97568,18314,15,7368,4887,123250,100980.7
Employee_40,44586,18955,20,6318,3320,69859,53830.8
Employee_41,66398,9673,20,3607,4814,79678,59649.8
Employee_42,43075,18739,5,6205,1210,68019,63718.3
Employee_43,53946,9272,10,2958,3721,66176,56133.2
Employee_44,66619,5388,20,4236,3531,76243,58310.6
Employee_45,83292,14229,5,1041,2306,98562,91379.95
Employee_46,32617,14722,15,5823,2527,53162,43534.15
